Participant ID,Alternative,Choice,Collab,Users,Data
1,1,0,No,Yes,No
1,2,0,Yes,Yes,Yes
1,3,1,No,No,Yes
1,4,0,Yes,No,No
2,1,1,No,Yes,No
2,2,0,Yes,Yes,Yes
2,3,0,No,No,Yes
2,4,0,Yes,No,No
3,1,1,No,Yes,No
3,2,0,Yes,Yes,Yes
3,3,0,No,No,Yes
3,4,0,Yes,No,No
4,1,0,No,Yes,No
4,2,0,Yes,Yes,Yes
4,3,0,No,No,Yes
4,4,1,Yes,No,No
5,1,0,No,Yes,No
5,2,0,Yes,Yes,Yes
5,3,0,No,No,Yes
5,4,1,Yes,No,No
6,1,0,No,Yes,No
6,2,1,Yes,Yes,Yes
6,3,0,No,No,Yes
6,4,0,Yes,No,No
7,1,0,No,Yes,No
7,2,1,Yes,Yes,Yes
7,3,0,No,No,Yes
7,4,0,Yes,No,No
8,1,1,No,Yes,No
8,2,0,Yes,Yes,Yes
8,3,0,No,No,Yes
8,4,0,Yes,No,No
9,1,1,No,Yes,No
9,2,0,Yes,Yes,Yes
9,3,0,No,No,Yes
9,4,0,Yes,No,No
10,1,0,No,Yes,No
10,2,0,Yes,Yes,Yes
10,3,1,No,No,Yes
10,4,0,Yes,No,No
11,1,0,No,Yes,No
11,2,1,Yes,Yes,Yes
11,3,0,No,No,Yes
11,4,0,Yes,No,No
12,1,1,No,Yes,No
12,2,0,Yes,Yes,Yes
12,3,0,No,No,Yes
12,4,0,Yes,No,No
13,1,0,No,Yes,No
13,2,0,Yes,Yes,Yes
13,3,0,No,No,Yes
13,4,1,Yes,No,No
14,1,0,No,Yes,No
14,2,0,Yes,Yes,Yes
14,3,0,No,No,Yes
14,4,1,Yes,No,No
15,1,0,No,Yes,No
15,2,1,Yes,Yes,Yes
15,3,0,No,No,Yes
15,4,0,Yes,No,No
16,1,1,No,Yes,No
16,2,0,Yes,Yes,Yes
16,3,0,No,No,Yes
16,4,0,Yes,No,No
17,1,0,No,Yes,No
17,2,1,Yes,Yes,Yes
17,3,0,No,No,Yes
17,4,0,Yes,No,No
18,1,0,No,Yes,No
18,2,0,Yes,Yes,Yes
18,3,1,No,No,Yes
18,4,0,Yes,No,No
19,1,0,No,Yes,No
19,2,0,Yes,Yes,Yes
19,3,0,No,No,Yes
19,4,1,Yes,No,No
20,1,1,No,Yes,No
20,2,0,Yes,Yes,Yes
20,3,0,No,No,Yes
20,4,0,Yes,No,No
21,1,0,No,Yes,No
21,2,0,Yes,Yes,Yes
21,3,0,No,No,Yes
21,4,1,Yes,No,No
22,1,0,No,Yes,No
22,2,0,Yes,Yes,Yes
22,3,0,No,No,Yes
22,4,1,Yes,No,No
23,1,0,No,Yes,No
23,2,0,Yes,Yes,Yes
23,3,0,No,No,Yes
23,4,1,Yes,No,No
24,1,1,No,Yes,No
24,2,0,Yes,Yes,Yes
24,3,0,No,No,Yes
24,4,0,Yes,No,No
25,1,1,No,Yes,No
25,2,0,Yes,Yes,Yes
25,3,0,No,No,Yes
25,4,0,Yes,No,No
26,1,1,No,Yes,No
26,2,0,Yes,Yes,Yes
26,3,0,No,No,Yes
26,4,0,Yes,No,No
27,1,0,No,Yes,No
